Feature ID	Taxon	Confidence
10c9165711bc1cb63e5dc770c1c348c1	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Corynebacteriaceae; g__Lawsonella	0.9998680936136265
fe48b903dfa6adf31c72109bbaaa13d4	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus	0.999999812665094
4bf7ecb175a4fe64089a408463fd21e3	d__Bacteria; p__Firmicutes; c__Bacilli	0.9999999956280639
10873c3146943258088f80e3299d208a	d__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales-Selenomonadales; f__Veillonellaceae; g__Veillonella	0.9789857350640075
5dd138fdb155d8677dd2b41129412e51	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Cutibacterium	0.9954580750383242
9c5a50a72ec61bddac3eaf5a672c2f99	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus	0.9999998506646947
f6319c72f71942d3116889dcc4ab62ee	d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Staphylococcaceae; g__Staphylococcus	0.8082344437751692
7ab743e5d4d3a3bf91aaa4c54fcbc1bc	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus	0.9999998783176642
1b1c5e8ea334db0333a1572ca94dd272	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus	0.999999448819809
9b2018788b9620b1347bcf0aac175473	d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Gemellaceae; g__Gemella; s__uncultured_bacterium	0.9081656262052334
9ba63c836674a691c62b195efc1f8695	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus	0.9999995345265817
0d6377fd3d5239e35882c404e84308c1	d__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales-Selenomonadales; f__Veillonellaceae; g__Veillonella	0.9772914965123591
e12b5dec60142601993a28d70d518d38	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Moraxella; s__Moraxella_catarrhalis	0.7912018309827361
