"superkingdom","kingdom","phylum","class","order","family","genus","species","read_counts","Proportion","readsEM","EMProportion","IDs","TaxonomyIDs","read_proportions","uniqueness_score","species_percentage_hit","genus_percentage_hit","species_contaminant_score","genus_contaminant_score","best_hit_genus","best_hit_species"
NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus aureus",47559,0.133400839242438,47337.5,0.132815277899519,"1","1280","1","6","1","1","1","0","Staphylococcus","aureus"
NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus cereus",35504,0.0995871106722915,35504.9,0.0996164584872548,"2","1396","1","10","0","1","1","0","Bacillus","albus"
NA,NA,"Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium beijerinckii",34410,0.0965184902611974,34410.4,0.0965455552080271,"3","1520","1","4","1","1","1","0","Clostridium","beijerinckii"
NA,NA,"Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter","Acinetobacter baumannii",24461,0.0686119962301409,24461,0.0686304767329912,"4","470","1","11","0.5","1","0.5","0","Acinetobacter","baumannii"
NA,NA,"Pseudomonadota","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","Neisseria meningitidis",23006,0.0645307871824791,23006,0.0645481667117903,"5","487","1","1","1","1","0","0","Neisseria","meningitidis"
NA,NA,"Deinococcota","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus radiodurans",20366,0.0571257068485773,20366,0.0571410935536003,"6","1299","1","2","1","1","0.5","0","Deinococcus","radiodurans"
NA,NA,"Bacillota","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria seeligeri",18628,0.0522506956287586,18633.4,0.0522799246064346,"7","1640","1","5","1","1","1","0","Listeria","innocua"
NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus mutans",18387,0.0515747015528229,18375.6,0.0515565622294763,"8","1309","1","1","1","1","0","0","Streptococcus","mutans"
NA,NA,"Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas aeruginosa",17952,0.0503545462705323,17951.9,0.0503678301461843,"9","287","1","1","1","1","0","0","Pseudomonas","aeruginosa"
NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola vulgatus",17913,0.0502451530383269,17913,0.0502586469173791,"10","821","1","1","1","1","0","0","Phocaeicola","vulgatus"
NA,NA,"Campylobacterota","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Helicobacter","Helicobacter pylori",15764,0.044217305448344,15764,0.0442292152989765,"11","210","1","1","1","1","0","0","Helicobacter","pylori"
NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus faecalis",14008,0.0392918050444305,13964.6,0.0391806044471146,"12","1351","1","11","0","1","1","0","Enterococcus","canis"
NA,NA,"Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Schaalia","Schaalia odontolytica",13617,0.0381950677677049,13617,0.0382053534950129,"13","1660","1","1","1","1","0","0","Schaalia","odontolytica"
NA,NA,"Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia coli",12391,0.0347561933399156,12390.8,0.0347651001067278,"14","562","1","7","1","1","1","1","Escherichia","boydii"
NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus agalactiae",9929,0.0278503949376178,9937.6,0.0278819732661888,"15","888745","1","1","1","1","0","0","Streptococcus","agalactiae"
NA,NA,"Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus gasseri",9493,0.0266274347006552,9493,0.026634607873361,"16","1596","1","10","0.666666666666667","1","1","0","Lactobacillus","acidophilus"
NA,NA,"Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Cereibacter","Cereibacter sphaeroides",8562,0.0240160219010861,8562,0.0240224899143214,"17","1063","1","2","1","1","1","0","Cereibacter","johrii"
NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","Porphyromonas gingivalis",8105,0.0227341576160129,8105,0.0227402810057782,"18","837","1","1","1","1","0","0","Porphyromonas","gingivalis"
NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus pneumoniae",1707,0.00478805762498878,1707.5,0.00479067454430475,"19","1313","1","2","1","1","1","0","Streptococcus","pneumoniae"
