species,taxid,prior_weights
Acinetobacter baumannii,470,0.004761905
Schaalia odontolytica,1660,0.004761905
Bacillus cereus,1396,0.004761905
Phocaeicola vulgatus,821,0.004761905
Clostridium beijerinckii,1520,0.004761905
Deinococcus radiodurans,1299,0.004761905
Enterococcus faecalis,1351,0.004761905
Escherichia coli,562,0.004761905
Helicobacter pylori,210,0.004761905
Lactobacillus gasseri,1596,0.004761905
Listeria monocytogenes,1639,0.004761905
Neisseria meningitidis,487,0.004761905
Porphyromonas gingivalis,837,0.004761905
Cutibacterium acnes,1747,0.004761905
Pseudomonas aeruginosa,287,0.004761905
Cereibacter sphaeroides,1063,0.004761905
Staphylococcus aureus,1280,0.004761905
Staphylococcus epidermidis,1282,0.004761905
Streptococcus agalactiae,1311,0.004761905
Streptococcus mutans,1309,0.004761905
Streptococcus pneumoniae,1313,0.004761905
