"superkingdom","kingdom","phylum","class","order","family","genus","species","read_counts","Proportion","readsEM","EMProportion","IDs","TaxonomyIDs","read_proportions","uniqueness_score","species_percentage_hit","genus_percentage_hit","species_contaminant_score","genus_contaminant_score","best_hit_genus","best_hit_species"
NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus aureus",33012,0.115727221417879,32845.8,0.115187232567547,"1","1280","1","6","1","1","1","0","Staphylococcus","aureus"
NA,NA,"Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium beijerinckii",31243,0.109525796036557,31241.8,0.109562452930178,"2","1520","1","4","1","1","1","0","Clostridium","beijerinckii"
NA,NA,"Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter","Acinetobacter baumannii",23504,0.082395874597293,23504,0.082426503852345,"3","470","1","1","1","1","0","0","Acinetobacter","baumannii"
NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus cereus",22722,0.0796544870064538,22727.6,0.0797037676308227,"4","1396","1","10","0","1","1","0","Bacillus","albus"
NA,NA,"Deinococcota","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus radiodurans",18647,0.0653691232818125,18647,0.0653934231337082,"5","1299","1","1","1","1","0","0","Deinococcus","radiodurans"
NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola vulgatus",17844,0.062554117865644,17843.6,0.0625759089354612,"6","821","1","1","1","1","0","0","Phocaeicola","vulgatus"
NA,NA,"Pseudomonadota","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","Neisseria meningitidis",17788,0.0623578036647655,17788,0.0623809840505968,"7","487","1","1","1","1","0","0","Neisseria","meningitidis"
NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus mutans",14589,0.0511433549395808,14582.8,0.051140598599986,"8","1309","1","1","1","1","0","0","Streptococcus","mutans"
NA,NA,"Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas aeruginosa",13981,0.049011943615757,13980.9,0.0490297512191578,"9","287","1","1","1","1","0","0","Pseudomonas","aeruginosa"
NA,NA,"Bacillota","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria seeligeri",13417,0.0470347791640521,13421.1,0.0470667565122289,"10","1640","1","5","1","1","1","0","Listeria","innocua"
NA,NA,"Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Schaalia","Schaalia odontolytica",12641,0.0443144252375928,12641,0.0443308814232275,"11","1660","1","1","1","1","0","0","Schaalia","odontolytica"
NA,NA,"Campylobacterota","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Helicobacter","Helicobacter pylori",12433,0.0435852582057583,12433,0.0436014602769,"12","210","1","1","1","1","0","0","Helicobacter","pylori"
NA,NA,"Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia coli",10794,0.037839562219332,10793.6,0.0378520853954409,"13","562","1","8","1","1","1","1","Shigella","coli"
NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus faecalis",10241,0.0359009594856568,10187.1,0.0357253642581256,"14","1351","1","9","0","1","1","0","Enterococcus","canis"
NA,NA,"Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Cereibacter","Cereibacter sphaeroides",7662,0.0268599894130556,7662,0.0268699741529259,"15","1063","1","2","1","1","1","0","Cereibacter","johrii"
NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus agalactiae",6662,0.0233543786830823,6666.9,0.0233802128404829,"16","888745","1","9","1","1","0.5","0","Streptococcus","agalactiae"
NA,NA,"Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus gasseri",6457,0.0226357284834377,6460.2,0.0226552015638869,"17","1596","1","4","1","1","1","0","Lactobacillus","gasseri"
NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","Porphyromonas gingivalis",5789,0.0202939805158156,5789.2,0.0203023023202749,"18","837","1","1","1","1","0","0","Porphyromonas","gingivalis"
NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus pneumoniae",1178,0.00412960943990857,1178.1,0.00413138187100107,"19","1313","1","2","1","1","1","0","Streptococcus","pneumoniae"
NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus hirae",1136,0.00398237378924969,1162.7,0.00407738867638494,"20","1354","1","12","0.857142857142857","1","1","0","Enterococcus","gallinarum"
NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Segatella","Segatella copri",662,0.00232071430324234,662,0.00232157698903388,"21","537011","1","1","1","1","0","0","Segatella","copri"
NA,NA,"Actinomycetota","Actinomycetes","Propionibacteriales","Propionibacteriaceae","Cutibacterium","Cutibacterium acnes",597,0.00209284960579407,597,0.00209362758678735,"22","1747","1","1","1","1","0","0","Cutibacterium","acnes"
NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus epidermidis",410,0.00143730039928906,568.7,0.00199432231331712,"23","1282","1","6","1","1","1","0","Staphylococcus","aureus"
