"","superkingdom","kingdom","phylum","class","order","family","genus","species","read_counts","Proportion","readsEM","EMProportion","IDs","TaxonomyIDs","read_proportions"
"1",NA,NA,"Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium beijerinckii",4309,0.129279049533467,4309,0.129282813352115,"1","1520","1"
"2",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus aureus",3581,0.107437520626444,3564.1,0.106933387708661,"2","1280","1"
"3",NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus cereus",2456,0.0736851579610573,2460.5,0.073822569918551,"3","1396","1"
"4",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola vulgatus",2200,0.0660046203234226,2200,0.0660065860687958,"4","821","1"
"5",NA,NA,"Deinococcota","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus radiodurans",2088,0.0626443851069575,2088,0.0626462646264627,"5","1299","1"
"6",NA,NA,"Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter","Acinetobacter baumannii",2041,0.061234286400048,2041,0.0612361236123612,"6","470","1"
"7",NA,NA,"Pseudomonadota","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","Neisseria meningitidis",1908,0.0572440070804956,1908,0.0572457245724572,"7","487","1"
"8",NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus mutans",1652,0.049563469442861,1643,0.049294519075435,"8","1309","1"
"9",NA,NA,"Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Schaalia","Schaalia odontolytica",1530,0.0459032132249257,1530,0.0459045726333006,"9","1660","1"
"10",NA,NA,"Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas aeruginosa",1530,0.0459032132249257,1530,0.0459045904590459,"10","287","1"
"11",NA,NA,"Bacillota","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria innocua",1457,0.043713059914194,1464.2,0.0439300529370659,"11","1642","1"
"12",NA,NA,"Campylobacterota","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Helicobacter","Helicobacter pylori",1399,0.0419729381056674,1399,0.041974197419742,"12","210","1"
"13",NA,NA,"Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia coli",1293,0.0387927154900843,1293,0.0387937096822174,"13","562","1"
"14",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus faecalis",1224,0.0367225705799406,1222.5,0.036679020841004,"14","1351","1"
"15",NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus agalactiae",1220,0.0366025621793526,1222.4,0.0366758329216342,"15","888745","1"
"16",NA,NA,"Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus gasseri",1033,0.0309921694518616,1035.5,0.0310695760758525,"16","1596","1"
"17",NA,NA,"Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Cereibacter","Cereibacter sphaeroides",912,0.0273619153340734,912,0.0273627362736274,"17","1063","1"
"18",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","Porphyromonas gingivalis",659,0.0197713839968798,659,0.0197719771977198,"18","837","1"
"19",NA,NA,"Actinomycetota","Actinomycetes","Propionibacteriales","Propionibacteriaceae","Cutibacterium","Cutibacterium acnes",340,0.0102007140499835,340,0.0102010201020102,"19","1747","1"
"20",NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus pneumoniae",155,0.00465032552278659,155.3,0.00465917183347242,"20","1313","1"
"21",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Segatella","Segatella copri",81,0.00243017011190783,81,0.00243024302430243,"21","537011","1"
