"superkingdom","kingdom","phylum","class","order","family","genus","species","read_counts","Proportion","readsEM","EMProportion","IDs","TaxonomyIDs","read_proportions","uniqueness_score","species_percentage_hit","genus_percentage_hit","species_contaminant_score","genus_contaminant_score","best_hit_genus","best_hit_species"
NA,NA,"Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium beijerinckii",4137,0.124271553018925,4132.6,0.124152844993606,"1","1520","1","4","1","1","1","0","Clostridium","beijerinckii"
NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus aureus",2386,0.071673175127666,2261.3,0.0679342592181685,"2","1280","1","6","1","1","1","0","Staphylococcus","aureus"
NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola vulgatus",2200,0.0660859116851907,2200,0.0660938360730976,"3","821","1","1","1","1","0","0","Phocaeicola","vulgatus"
NA,NA,"Deinococcota","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus radiodurans",2088,0.0627215379993992,2088,0.0627290752869074,"4","1299","1","2","1","1","0.5","0","Deinococcus","radiodurans"
NA,NA,"Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter","Acinetobacter baumannii",2028,0.0609191949534395,2028,0.0609265131404884,"5","470","1","1","1","1","0","0","Acinetobacter","baumannii"
NA,NA,"Pseudomonadota","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","Neisseria meningitidis",1908,0.05731450886152,1908,0.0573213963828637,"6","487","1","1","1","1","0","0","Neisseria","meningitidis"
NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus cereus",1681,0.0504956443376389,1612.7,0.048448687233501,"7","1396","1","10","0","1","1","0","Bacillus","albus"
NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus mutans",1651,0.0495944728146591,1646.3,0.0494603644205604,"8","1309","1","1","1","1","0","0","Streptococcus","mutans"
NA,NA,"Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Schaalia","Schaalia odontolytica",1530,0.0459597476719736,1530,0.0459652536479278,"9","1660","1","1","1","1","0","0","Schaalia","odontolytica"
NA,NA,"Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas aeruginosa",1525,0.0458095524181436,1525,0.045815047865664,"10","287","1","2","1","1","0.333333333333333","0","Pseudomonas","aeruginosa"
NA,NA,"Campylobacterota","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Helicobacter","Helicobacter pylori",1399,0.0420246320216281,1399,0.0420296821486511,"11","210","1","1","1","1","0","0","Helicobacter","pylori"
NA,NA,"Bacillota","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria seeligeri",1315,0.0395013517572845,1300.1,0.0390594628152825,"12","1640","1","5","1","1","1","0","Listeria","innocua"
NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus agalactiae",1200,0.036046860919195,1200.4,0.0360641424265396,"13","888745","1","1","1","1","0","0","Streptococcus","agalactiae"
NA,NA,"Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia coli",1028,0.0308801441874437,1001.2,0.0300786194272336,"14","562","1","8","1","1","1","1","Shigella","coli"
NA,NA,"Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus gasseri",1006,0.0302192850705918,1005.9,0.0302188890519284,"15","1596","1","4","1","1","1","0","Lactobacillus","gasseri"
NA,NA,"Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Cereibacter","Cereibacter sphaeroides",911,0.0273655752478222,911,0.0273688637865769,"16","1063","1","2","1","1","1","0","Cereibacter","johrii"
NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus faecalis",731,0.0219585461099429,721.4,0.0216713964218501,"17","1351","1","9","0","1","1","0","Enterococcus","canis"
NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","Porphyromonas gingivalis",659,0.0197957344547912,659,0.0197981133209157,"18","837","1","1","1","1","0","0","Porphyromonas","gingivalis"
NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus mycoides",568,0.0170621808350856,618.5,0.0185813536206633,"19","1405","1","10","0","1","1","0","Bacillus","albus"
NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus epidermidis",499,0.0149894863322319,504.4,0.0151533913616758,"20","1282","1","6","1","1","1","0","Staphylococcus","aureus"
NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus capitis",468,0.014058275758486,570,0.0171252808877489,"21","29388","1","6","1","1","1","0","Staphylococcus","aureus"
NA,NA,"Actinomycetota","Actinomycetes","Propionibacteriales","Propionibacteriaceae","Cutibacterium","Cutibacterium acnes",340,0.0102132772604386,340,0.0102145045965271,"22","1747","1","1","1","1","0","0","Cutibacterium","acnes"
NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus hirae",307,0.00922198858516071,294,0.00883237143569406,"23","1354","1","9","1","1","1","0","Enterococcus","canis"
NA,NA,"Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia fergusonii",251,0.00753980174226494,277.6,0.00834019736056732,"24","564","1","8","1","1","1","1","Shigella","boydii"
NA,NA,"Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium saccharoperbutylacetonicum",167,0.0050165214779213,171.4,0.00514923487683204,"25","36745","1","5","0.5","1","1","0","Clostridium","beijerinckii"
NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus pneumoniae",157,0.00471613097026134,157.2,0.00472142655293607,"26","1313","1","2","1","1","1","0","Streptococcus","pneumoniae"
NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus thuringiensis",146,0.00438570141183539,142.6,0.0042841794170334,"27","1428","1","10","0","1","1","0","Bacillus","albus"
NA,NA,"Bacillota","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria welshimeri",135,0.00405527185340943,146.7,0.00440708505421236,"28","1643","1","5","1","1","1","0","Listeria","innocua"
NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus pasteuri",129,0.00387503754881346,124.4,0.00373746129133713,"29","45972","1","6","0","1","1","0","Staphylococcus","aureus"
NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus dispar",108,0.00324421748272755,130.9,0.00393233460729896,"30","44009","1","9","1","1","1","0","Enterococcus","canis"
NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Segatella","Segatella copri",81,0.00243316311204566,81,0.00243345550681968,"31","537011","1","1","1","1","0","0","Segatella","copri"
NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus saprophyticus",70,0.00210273355361971,68.9,0.00206904904889556,"32","29385","1","9","0.8","1","1","0","Staphylococcus","aureus"
NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus anthracis",56,0.00168218684289576,76.3,0.00229334044059381,"33","1392","1","10","0","1","1","0","Bacillus","albus"
NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus saccharolyticus",45,0.00135175728446981,47,0.00141123514537403,"34","33028","1","6","1","1","1","0","Staphylococcus","aureus"
NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus faecium",37,0.00111144487834184,40.2,0.00120885243458474,"35","1352","1","9","1","1","1","0","Enterococcus","canis"
NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus caprae",25,0.000750976269149895,41.5,0.00124715341456925,"36","29380","1","6","0","1","1","0","Staphylococcus","aureus"
NA,NA,"Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus acidophilus",20,0.000600781015319916,18.3,0.000548349519210079,"37","1579","1","7","1","1","1","0","Lactobacillus","acidophilus"
NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus manliponensis",18,0.000540702913787924,16.9,0.000508031298438777,"38","574376","1","10","0","1","1","0","Bacillus","albus"
NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus paramycoides",16,0.000480624812255933,16.3,0.000490029893389077,"39","2026194","1","10","1","1","1","0","Bacillus","albus"
