"superkingdom","kingdom","phylum","class","order","family","genus","species","read_counts","Proportion","readsEM","EMProportion","IDs","TaxonomyIDs","read_proportions","uniqueness_score","species_percentage_hit","genus_percentage_hit","species_contaminant_score","genus_contaminant_score","best_hit_genus","best_hit_species"
NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus aureus",106942,0.125319033746681,106658.2,0.12503468102945,"1","1280","1","6","1","1","1","0","Staphylococcus","aureus"
NA,NA,"Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium beijerinckii",83265,0.0975733513953112,83265,0.0976109819035502,"2","1520","1","4","1","1","1","0","Clostridium","beijerinckii"
NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus cereus",72911,0.0854401083718674,72944.2,0.0855119836727686,"3","1396","1","10","0","1","1","0","Bacillus","albus"
NA,NA,"Deinococcota","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus radiodurans",62687,0.0734592046948643,62687,0.0734875367660415,"4","1299","1","1","1","1","0","0","Deinococcus","radiodurans"
NA,NA,"Pseudomonadota","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","Neisseria meningitidis",56669,0.0664070647957832,56669,0.0664326718663053,"5","487","1","2","1","1","1","0","Neisseria","meningitidis"
NA,NA,"Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter","Acinetobacter baumannii",53189,0.0623290576756766,53189,0.062353095343973,"6","470","1","1","1","1","0","0","Acinetobacter","baumannii"
NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola vulgatus",52566,0.0615990006538873,52566,0.0616227447825446,"7","821","1","2","1","1","0.5","0","Phocaeicola","vulgatus"
NA,NA,"Bacillota","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria seeligeri",41449,0.0485716428509488,41481.1,0.0486279959010805,"8","1640","1","5","1","1","1","0","Listeria","innocua"
NA,NA,"Campylobacterota","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Helicobacter","Helicobacter pylori",40731,0.0477302609221452,40731,0.0477486697293603,"9","210","1","1","1","1","0","0","Helicobacter","pylori"
NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus mutans",40318,0.0472462905369142,40270.9,0.0472092946558637,"10","1309","1","1","1","1","0","0","Streptococcus","mutans"
