"","superkingdom","kingdom","phylum","class","order","family","genus","species","read_counts","Proportion","readsEM","EMProportion","IDs","TaxonomyIDs","read_proportions"
"103",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus devriesei",11,3.90588937100978e-05,14.6,5.20084457593683e-05,"104","586733","1"
"104",NA,NA,"Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus hominis",11,3.90588937100978e-05,16,5.69829775539932e-05,"106","1423758","1"
"105",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes putredinis",11,3.90588937100978e-05,11,3.90633323153192e-05,"103","28117","1"
"106",NA,NA,"Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas indica",11,3.90588937100978e-05,12.4,4.41209714704979e-05,"105","137658","1"
"107",NA,NA,"Bacillota","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria ivanovii",10,3.5508085190998e-05,10.8,3.85199929161288e-05,"108","1638","1"
"108",NA,NA,"Bacillota","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria monocytogenes",10,3.5508085190998e-05,10,3.54436245024029e-05,"109","1639","1"
"109",NA,NA,"Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Shigella","Shigella flexneri",10,3.5508085190998e-05,10.2,3.60989027411507e-05,"107","623","1"
"110",NA,NA,"Bacillota","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria marthii",9,3.19572766718982e-05,9.5,3.39097552826855e-05,"114","529731","1"
"111",NA,NA,"Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus jensenii",9,3.19572766718982e-05,12.2,4.32475841692167e-05,"110","109790","1"
"112",NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus urinalis",9,3.19572766718982e-05,13.1,4.63997037210282e-05,"112","149016","1"
"113",NA,NA,"Pseudomonadota","Gammaproteobacteria","Lysobacterales","Lysobacteraceae","Stenotrophomonas","Stenotrophomonas pavanii",9,3.19572766718982e-05,9,3.19609082579885e-05,"111","487698","1"
"114",NA,NA,"Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter","Acinetobacter tandoii",9,3.19572766718982e-05,8.2,2.92128611764873e-05,"113","202954","1"
"115",NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus tropicus",8,2.84064681527984e-05,8,2.83838935905556e-05,"122","2026188","1"
"116",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus xylosus",8,2.84064681527984e-05,7.8,2.76636251341715e-05,"118","1288","1"
