"superkingdom","kingdom","phylum","class","order","family","genus","species","read_counts","Proportion","readsEM","EMProportion","IDs","TaxonomyIDs","read_proportions","uniqueness_score","species_percentage_hit","genus_percentage_hit","species_contaminant_score","genus_contaminant_score","best_hit_genus","best_hit_species"
NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus aureus",26275,0.132296444737597,25578.9,0.128910731710777,"1","1280","1","7","0.666666666666667","1","1","0","Staphylococcus","capitis"
NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus cereus",18728,0.0942967770521684,18766.2,0.0945767298354228,"2","1396","1","10","0","1","1","0","Bacillus","albus"
NA,NA,"Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter","Acinetobacter baumannii",18032,0.0907923688490335,18032,0.0908765596726639,"3","470","1","7","1","1","1","0","Acinetobacter","baumannii"
NA,NA,"Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium beijerinckii",17502,0.0881237821426234,17502,0.0882054994478557,"4","1520","1","4","1","1","1","0","Clostridium","beijerinckii"
NA,NA,"Deinococcota","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus radiodurans",11641,0.0586132412251331,11641,0.0586675939785206,"5","1299","1","1","1","1","0","0","Deinococcus","radiodurans"
NA,NA,"Bacillota","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria innocua",11450,0.0576515429969739,11449.4,0.0577017413329064,"6","1642","1","5","1","1","1","0","Listeria","innocua"
NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola vulgatus",10652,0.0536335577295866,10652,0.0536832551184382,"7","821","1","1","1","1","0","0","Phocaeicola","vulgatus"
NA,NA,"Pseudomonadota","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","Neisseria meningitidis",10002,0.0503607627122911,10002,0.0504074623754212,"8","487","1","2","1","1","1","0","Neisseria","meningitidis"
NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus mutans",9443,0.047546158997417,9429.8,0.0475237707377958,"9","1309","1","1","1","1","0","0","Streptococcus","mutans"
NA,NA,"Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas aeruginosa",9344,0.0470476871409366,9344,0.0470911595200381,"10","287","1","2","1","1","1","0","Pseudomonas","aeruginosa"
