"","superkingdom","kingdom","phylum","class","order","family","genus","species","read_counts","Proportion","readsEM","EMProportion","IDs","TaxonomyIDs","read_proportions"
"1",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus aureus",48199,0.131250170193067,47591.8,0.12965240915644,"1","1280","1"
"2",NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus cereus",34078,0.0927974294039158,34116,0.0929409960795928,"2","1396","1"
"3",NA,NA,"Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium beijerinckii",32411,0.0882580399204858,32411,0.0882960275439502,"3","1520","1"
"4",NA,NA,"Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter","Acinetobacter baumannii",26861,0.0731448955695341,26861,0.0731763794774831,"4","470","1"
"5",NA,NA,"Pseudomonadota","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","Neisseria meningitidis",21334,0.058094382267244,21334,0.0581193878896304,"5","487","1"
"6",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola vulgatus",20867,0.0568226996705062,20867,0.0568471492857269,"6","821","1"
"7",NA,NA,"Deinococcota","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus radiodurans",19968,0.0543746425945593,19968,0.0543980472495859,"7","1299","1"
"8",NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus mutans",17849,0.0486044168504752,17801.8,0.0484967093421311,"8","1309","1"
"9",NA,NA,"Bacillota","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria seeligeri",17773,0.0483974620809847,17788.2,0.0484596938932689,"9","1640","1"
"10",NA,NA,"Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas aeruginosa",17482,0.0476050431609618,17482,0.0476254656969764,"10","287","1"
