"","superkingdom","kingdom","phylum","class","order","family","genus","species","read_counts","Proportion","readsEM","EMProportion","IDs","TaxonomyIDs","read_proportions"
"1",NA,NA,"Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter","Acinetobacter baumannii",42006,0.13694289319002,42006,0.13700184922918,"1","470","1"
"2",NA,NA,"Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium beijerinckii",34545,0.112619441157198,34481.4,0.112460491578508,"2","1520","1"
"3",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus aureus",20826,0.0678944125500015,19722.8,0.0643254567452899,"3","1280","1"
"4",NA,NA,"Pseudomonadota","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria","Neisseria meningitidis",18619,0.0606994174238201,18619,0.0607255468199501,"4","487","1"
"5",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola vulgatus",18422,0.0600571817918048,18422,0.0600830340852396,"5","821","1"
"6",NA,NA,"Deinococcota","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus radiodurans",18315,0.0597083533013194,18315,0.0597340586871227,"6","1299","1"
"7",NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus cereus",14965,0.0487870874777092,14406.5,0.0469864046037221,"7","1396","1"
"8",NA,NA,"Campylobacterota","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Helicobacter","Helicobacter pylori",14807,0.0482719949403568,14807,0.0482927767933243,"8","210","1"
"9",NA,NA,"Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas aeruginosa",14315,0.0466680358999938,14314.7,0.0466872439431721,"9","287","1"
"10",NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus mutans",13209,0.0430623881385273,13203.3,0.0430624412713947,"10","1309","1"
"11",NA,NA,"Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Schaalia","Schaalia odontolytica",11132,0.036291203327889,11132,0.0363068143223057,"11","1660","1"
"12",NA,NA,"Bacillota","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria seeligeri",10812,0.035247977935783,10702.2,0.0349051774179343,"12","1640","1"
"13",NA,NA,"Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia coli",9744,0.031766213189629,9471.1,0.0308899386807014,"13","562","1"
"14",NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus agalactiae",7289,0.0237627183845655,7292.4,0.0237841653938453,"14","888745","1"
"15",NA,NA,"Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Cereibacter","Cereibacter sphaeroides",7098,0.0231400432286522,7098,0.0231500044933709,"15","1063","1"
"16",NA,NA,"Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus gasseri",6459,0.0210568525237904,6458.9,0.0210657313279648,"16","1596","1"
"17",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","Porphyromonas gingivalis",5627,0.0183444665043147,5627,0.0183523640858553,"17","837","1"
"18",NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus mycoides",4930,0.0160721911971337,5323.5,0.0173623588225665,"18","1405","1"
"19",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus capitis",4486,0.0146247159655866,5527.8,0.0180286760747324,"19","29388","1"
"20",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus epidermidis",4418,0.0144030305697641,4364.8,0.0142356237714195,"20","1282","1"
"21",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus faecalis",4404,0.0143573894588594,4040.5,0.013178094599589,"21","1351","1"
"22",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus hirae",3351,0.0109245259029605,3571.8,0.0116494287167117,"22","1354","1"
"23",NA,NA,"Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia fergusonii",2490,0.00811759758232515,2761.2,0.00900556011729031,"23","564","1"
"24",NA,NA,"Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium saccharoperbutylacetonicum",1879,0.00612568909927268,1941,0.00633039185121915,"24","36745","1"
"25",NA,NA,"Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus thuringiensis",1288,0.00419898220322683,1188,0.00387475837070315,"25","1428","1"
"26",NA,NA,"Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus pneumoniae",1205,0.00392839561714932,1205.1,0.00393040103869694,"26","1313","1"
"27",NA,NA,"Bacillota","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria welshimeri",1113,0.00362846831691883,1217.2,0.00396977699599697,"27","1643","1"
"28",NA,NA,"Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus saccharolyticus",1052,0.00342960347654862,849.4,0.00277026542348362,"28","33028","1"
"29",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus faecium",891,0.00290473070114527,907.3,0.00295902796460715,"29","1352","1"
"30",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Segatella","Segatella copri",720,0.0023472571322386,720,0.00234826766337583,"30","537011","1"
